
2024/04/17 (02:12:53) | ===> btop++ v.1.3.2
2024/04/17 (02:12:53) | INFO: Logger set to DEBUG
2024/04/17 (02:12:53) | DEBUG: Using locale en_US.UTF-8
2024/04/17 (02:12:53) | INFO: Running on /dev/pts/0
2024/04/17 (02:12:53) | DEBUG: Shared::init() : Initialized.

2024/04/17 (02:12:59) | ===> btop++ v.1.3.2
2024/04/17 (02:12:59) | INFO: Logger set to DEBUG
2024/04/17 (02:12:59) | DEBUG: Using locale en_US.UTF-8
2024/04/17 (02:12:59) | INFO: Running on /dev/pts/0
2024/04/17 (02:12:59) | DEBUG: Shared::init() : Initialized.

2024/04/17 (02:15:12) | ===> btop++ v.1.3.2
2024/04/17 (02:15:12) | INFO: Logger set to DEBUG
2024/04/17 (02:15:12) | DEBUG: Using locale en_US.UTF-8
2024/04/17 (02:15:12) | INFO: Running on /dev/pts/0
2024/04/17 (02:15:12) | DEBUG: Shared::init() : Initialized.
2024/04/17 (02:15:12) | DEBUG: Loading theme file: /usr/local/share/btop/themes/elementarish.theme

2024/04/17 (02:15:45) | ===> btop++ v.1.3.2
2024/04/17 (02:15:45) | INFO: Logger set to DEBUG
2024/04/17 (02:15:45) | DEBUG: Using locale en_US.UTF-8
2024/04/17 (02:15:45) | INFO: Running on /dev/pts/0
2024/04/17 (02:15:46) | DEBUG: Shared::init() : Initialized.
2024/04/17 (02:15:46) | DEBUG: Loading theme file: /usr/local/share/btop/themes/everforest-dark-hard.theme

2024/04/17 (02:16:24) | ===> btop++ v.1.3.2
2024/04/17 (02:16:24) | INFO: Logger set to DEBUG
2024/04/17 (02:16:24) | DEBUG: Using locale en_US.UTF-8
2024/04/17 (02:16:24) | INFO: Running on /dev/pts/0
2024/04/17 (02:16:24) | DEBUG: Shared::init() : Initialized.
2024/04/17 (02:16:24) | DEBUG: Loading theme file: /usr/local/share/btop/themes/kyli0x.theme

2024/04/17 (02:16:48) | ===> btop++ v.1.3.2
2024/04/17 (02:16:48) | INFO: Logger set to DEBUG
2024/04/17 (02:16:48) | DEBUG: Using locale en_US.UTF-8
2024/04/17 (02:16:48) | INFO: Running on /dev/pts/0
2024/04/17 (02:16:48) | DEBUG: Shared::init() : Initialized.
2024/04/17 (02:16:48) | DEBUG: Loading theme file: /usr/local/share/btop/themes/nord.theme

2024/04/17 (02:16:59) | ===> btop++ v.1.3.2
2024/04/17 (02:16:59) | INFO: Logger set to DEBUG
2024/04/17 (02:16:59) | DEBUG: Using locale en_US.UTF-8
2024/04/17 (02:16:59) | INFO: Running on /dev/pts/0
2024/04/17 (02:16:59) | DEBUG: Shared::init() : Initialized.
2024/04/17 (02:16:59) | DEBUG: Loading theme file: /usr/local/share/btop/themes/onedark.theme

2024/04/17 (02:17:24) | ===> btop++ v.1.3.2
2024/04/17 (02:17:24) | INFO: Logger set to DEBUG
2024/04/17 (02:17:24) | DEBUG: Using locale en_US.UTF-8
2024/04/17 (02:17:24) | INFO: Running on /dev/pts/0
2024/04/17 (02:17:24) | DEBUG: Shared::init() : Initialized.
2024/04/17 (02:17:24) | DEBUG: Loading theme file: /usr/local/share/btop/themes/paper.theme

2024/04/17 (02:17:43) | ===> btop++ v.1.3.2
2024/04/17 (02:17:43) | INFO: Logger set to DEBUG
2024/04/17 (02:17:43) | DEBUG: Using locale en_US.UTF-8
2024/04/17 (02:17:43) | INFO: Running on /dev/pts/0
2024/04/17 (02:17:43) | DEBUG: Shared::init() : Initialized.
2024/04/17 (02:17:43) | DEBUG: Loading theme file: /usr/local/share/btop/themes/solarized_dark.theme

2024/04/17 (02:55:40) | ===> btop++ v.1.3.2
2024/04/17 (02:55:40) | INFO: Logger set to DEBUG
2024/04/17 (02:55:40) | DEBUG: Using locale en_US.UTF-8
2024/04/17 (02:55:40) | INFO: Running on /dev/pts/1
2024/04/17 (02:55:40) | DEBUG: Shared::init() : Initialized.
2024/04/17 (02:55:40) | DEBUG: Loading theme file: /usr/local/share/btop/themes/blackbeardos.theme

2024/04/17 (03:42:21) | ===> btop++ v.1.3.2
2024/04/17 (03:42:21) | INFO: Logger set to DEBUG
2024/04/17 (03:42:21) | DEBUG: Using locale en_US.UTF-8
2024/04/17 (03:42:21) | INFO: Running on /dev/pts/2
2024/04/17 (03:42:21) | DEBUG: Shared::init() : Initialized.
2024/04/17 (03:42:21) | DEBUG: Loading theme file: /usr/local/share/btop/themes/blackbeardos.theme

2024/04/18 (02:04:31) | ===> btop++ v.1.3.2
2024/04/18 (02:04:31) | INFO: Logger set to DEBUG
2024/04/18 (02:04:31) | DEBUG: Using locale en_US.UTF-8
2024/04/18 (02:04:31) | INFO: Running on /dev/pts/0
2024/04/18 (02:04:31) | DEBUG: Shared::init() : Initialized.
2024/04/18 (02:04:31) | DEBUG: Loading theme file: /usr/local/share/btop/themes/blackbeardos.theme

2024/04/18 (09:25:50) | ===> btop++ v.1.3.2
2024/04/18 (09:25:50) | INFO: Logger set to DEBUG
2024/04/18 (09:25:50) | DEBUG: Using locale en_US.UTF-8
2024/04/18 (09:25:50) | INFO: Running on /dev/pts/0
2024/04/18 (09:25:50) | DEBUG: Shared::init() : Initialized.
2024/04/18 (09:25:50) | DEBUG: Loading theme file: /usr/local/share/btop/themes/blackbeardos.theme

2024/04/18 (18:08:45) | ===> btop++ v.1.3.2
2024/04/18 (18:08:45) | INFO: Logger set to DEBUG
2024/04/18 (18:08:45) | DEBUG: Using locale en_US.UTF-8
2024/04/18 (18:08:45) | INFO: Running on /dev/pts/2
2024/04/18 (18:08:45) | DEBUG: Shared::init() : Initialized.
2024/04/18 (18:08:45) | DEBUG: Loading theme file: /usr/local/share/btop/themes/blackbeardos.theme
